No.;Time;;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
23;0,156683;;144,195,42,75;192,168,1,3;;;0,156683;0,162732;0,006049;;-0,223071;0,22912;0,452191
27;0,162732;;192,168,1,3;144,195,42,75;;;0,162732;0,391852;0,22912;;0,2288;0,00032;-0,22848
82;0,391852;;144,195,42,75;192,168,1,3;;;0,391852;0,392172;0,00032;;-0,038427;0,038747;0,077174
83;0,392172;;192,168,1,3;144,195,42,75;;;0,392172;0,430919;0,038747;;-0,155913;0,19466;0,350573
94;0,430919;;144,195,42,75;192,168,1,3;;;0,430919;0,625579;0,19466;;0,17038;0,02428;-0,1461
130;0,625579;;192,168,1,3;20,197,71,89;;;0,625579;0,649859;0,02428;;0,014298;0,009982;-0,004316
134;0,649859;;20,197,71,89;192,168,1,3;;;0,649859;0,659841;0,009982;;-0,020002;0,029984;0,049986
135;0,659841;;144,195,42,75;192,168,1,3;;;0,659841;0,689825;0,029984;;-0,390853;0,420837;0,81169
139;0,689825;;192,168,1,3;20,197,71,89;;;0,689825;1,110662;0,420837;;0,415703;0,005134;-0,410569
176;1,110662;;192,168,1,3;23,44,53,144;;;1,110662;1,115796;0,005134;;-0,040889;0,046023;0,086912
178;1,115796;;192,168,1,3;23,44,53,144;;;1,115796;1,161819;0,046023;;0,04114;0,004883;-0,036257
183;1,161819;;192,168,1,3;23,44,53,144;;;1,161819;1,166702;0,004883;;-0,044892;0,049775;0,094667
187;1,166702;;192,168,1,3;23,44,53,144;;;1,166702;1,216477;0,049775;;0,049604;0,000171;-0,049433
199;1,216477;;23,44,53,144;192,168,1,3;;;1,216477;1,216648;0,000171;;-0,004622;0,004793;0,009415
200;1,216648;;192,168,1,3;23,44,53,144;;;1,216648;1,221441;0,004793;;0,004655;0,000138;-0,004517
201;1,221441;;23,44,53,144;192,168,1,3;;;1,221441;1,221579;0,000138;;-0,038709;0,038847;0,077556
202;1,221579;;192,168,1,3;23,44,53,144;;;1,221579;1,260426;0,038847;;0,03871;0,000137;-0,038573
205;1,260426;;23,44,53,144;192,168,1,3;;;1,260426;1,260563;0,000137;;-0,004842;0,004979;0,009821
206;1,260563;;192,168,1,3;23,44,53,144;;;1,260563;1,265542;0,004979;;0,004834;0,000145;-0,004689
207;1,265542;;23,44,53,144;192,168,1,3;;;1,265542;1,265687;0,000145;;-0,029408;0,029553;0,058961
208;1,265687;;192,168,1,3;23,44,53,144;;;1,265687;1,29524;0,029553;;0,026717;0,002836;-0,023881
217;1,29524;;192,168,1,3;142,251,12,119;;;1,29524;1,298076;0,002836;;-0,013997;0,016833;0,03083
220;1,298076;;192,168,1,3;23,44,53,144;;;1,298076;1,314909;0,016833;;0,016618;0,000215;-0,016403
224;1,314909;;142,251,12,119;192,168,1,3;;;1,314909;1,315124;0,000215;;-0,010507;0,010722;0,021229
227;1,315124;;192,168,1,3;142,251,12,119;;;1,315124;1,325846;0,010722;;-0,011395;0,022117;0,033512
237;1,325846;;192,168,1,3;142,251,12,119;;;1,325846;1,347963;0,022117;;0,020017;0,0021;-0,017917
252;1,347963;;142,251,12,119;192,168,1,3;;;1,347963;1,350063;0,0021;;0,002098;2,00E-06;-0,002096
256;1,350063;;142,251,12,119;192,168,1,3;;;1,350063;1,350065;2,00E-06;;1,00E-06;1,00E-06;-2,22E-16
257;1,350065;;142,251,12,119;192,168,1,3;;;1,350065;1,350066;1,00E-06;;1,00E-06;0;-1,00E-06
258;1,350066;;142,251,12,119;192,168,1,3;;;1,350066;1,350066;0;;-0,000141;0,000141;0,000282
259;1,350066;;142,251,12,119;192,168,1,3;;;1,350066;1,350207;0,000141;;-0,006283;0,006424;0,012707
260;1,350207;;192,168,1,3;142,251,12,119;;;1,350207;1,356631;0,006424;;0,001415;0,005009;0,003594
264;1,356631;;192,168,1,3;142,251,12,119;;;1,356631;1,36164;0,005009;;-0,00354;0,008549;0,012089
269;1,36164;;192,168,1,3;23,44,53,144;;;1,36164;1,370189;0,008549;;0,007555;0,000994;-0,006561
280;1,370189;;192,168,1,3;23,44,53,144;;;1,370189;1,371183;0,000994;;-0,004291;0,005285;0,009576
281;1,371183;;192,168,1,3;23,44,53,144;;;1,371183;1,376468;0,005285;;-0,010313;0,015598;0,025911
290;1,376468;;142,251,12,119;192,168,1,3;;;1,376468;1,392066;0,015598;;0,011089;0,004509;-0,00658
328;1,392066;;192,168,1,3;23,44,53,144;;;1,392066;1,396575;0,004509;;0,003456;0,001053;-0,002403
335;1,396575;;23,44,53,144;192,168,1,3;;;1,396575;1,397628;0,001053;;0,001051;2,00E-06;-0,001049
336;1,397628;;23,44,53,144;192,168,1,3;;;1,397628;1,39763;2,00E-06;;1,00E-06;1,00E-06;4,44E-16
337;1,39763;;23,44,53,144;192,168,1,3;;;1,39763;1,397631;1,00E-06;;-0,00016;0,000161;0,000321
338;1,397631;;23,44,53,144;192,168,1,3;;;1,397631;1,397792;0,000161;;-0,000569;0,00073;0,001299
339;1,397792;;192,168,1,3;23,44,53,144;;;1,397792;1,398522;0,00073;;0,000574;0,000156;-0,000418
344;1,398522;;23,44,53,144;192,168,1,3;;;1,398522;1,398678;0,000156;;-0,018266;0,018422;0,036688
345;1,398678;;192,168,1,3;23,44,53,144;;;1,398678;1,4171;0,018422;;0,006924;0,011498;0,004574
383;1,4171;;192,168,1,3;142,251,12,119;;;1,4171;1,428598;0,011498;;-0,020059;0,031557;0,051616
391;1,428598;;192,168,1,3;144,195,42,75;;;1,428598;1,460155;0,031557;;0,030488;0,001069;-0,029419
413;1,460155;;23,44,53,144;192,168,1,3;;;1,460155;1,461224;0,001069;;0,001066;3,00E-06;-0,001063
414;1,461224;;23,44,53,144;192,168,1,3;;;1,461224;1,461227;3,00E-06;;3,00E-06;0;-3,00E-06
415;1,461227;;23,44,53,144;192,168,1,3;;;1,461227;1,461227;0;;-1,00E-06;1,00E-06;2,00E-06
416;1,461227;;23,44,53,144;192,168,1,3;;;1,461227;1,461228;1,00E-06;;-0,000186;0,000187;0,000373
417;1,461228;;23,44,53,144;192,168,1,3;;;1,461228;1,461415;0,000187;;-0,01459;0,014777;0,029367
418;1,461415;;192,168,1,3;23,44,53,144;;;1,461415;1,476192;0,014777;;0,014775;2,00E-06;-0,014773
423;1,476192;;23,44,53,144;192,168,1,3;;;1,476192;1,476194;2,00E-06;;1,00E-06;1,00E-06;-2,22E-16
